RecordID,Company,Fiscal Year,Total Revenue,Net Income,Total Assets,Total Liabilities,Cash Flow from Operating Activities,Source,Note
1,Apple,2021,3.72E+11,92947971610,3.39E+11,3.06E+11,1.04E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2,Microsoft,2023,2.05E+11,82825216925,3.70E+11,2.07E+11,80862271425,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
3,Tesla,2022,75714029944,12219217123,81384751562,41794034113,14350148783,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
4,Microsoft,2023,2.21E+11,85057468848,3.73E+11,2.08E+11,81926629963,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
5,Microsoft,2022,1.94E+11,74075831140,3.36E+11,1.91E+11,70796734397,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
6,Microsoft,2023,2.10E+11,83031712266,3.52E+11,2.14E+11,80285227989,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
7,Tesla,2022,82255203144,11508710018,76812640761,40705072903,15077913822,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
8,Apple,2022,3.98E+11,96826980798,3.36E+11,2.94E+11,1.08E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
9,Tesla,2021,54380706650,5216657,62605736051,29655420153,5879382910,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
10,Apple,2023,3.90E+11,1.02E+11,3.41E+11,2.94E+11,1.09E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
11,Tesla,2023,83096716567,15107891105,81587257739,44529111890,16875129544,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
12,Tesla,2021,52594463202,5635714,64574628495,29935260843,6183382526,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
13,Microsoft,2023,2.17E+11,86029018414,3.81E+11,2.12E+11,90730006504,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
14,Apple,2022,3.84E+11,1.00E+11,3.49E+11,2.88E+11,1.04E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
15,Tesla,2021,52966963631,5258766,60549222856,30676862936,5961932220,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
16,Tesla,2022,80425443697,11483343719,84225534166,41867585185,14576196299,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
17,Tesla,2022,84884585642,12063365900,81242669115,42856759620,14884959827,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
18,Tesla,2021,53232340372,5549077,62487469160,30004602463,5957922552,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
19,Microsoft,2022,1.96E+11,71378165219,3.38E+11,1.94E+11,73472236932,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
20,Microsoft,2021,1.58E+11,60971672067,3.04E+11,1.88E+11,59100284016,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
21,Apple,2021,3.61E+11,94441239048,3.64E+11,2.75E+11,1.05E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
22,Tesla,2022,86433366686,12279430616,79219736811,41034350586,15351979552,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
23,Apple,2022,4.11E+11,95692766563,3.58E+11,3.07E+11,1.07E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
24,Microsoft,2023,2.07E+11,88412640142,3.74E+11,2.10E+11,81105685896,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
25,Apple,2023,3.89E+11,97293234855,3.57E+11,2.89E+11,1.04E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
26,Microsoft,2022,1.93E+11,73778815351,3.21E+11,1.96E+11,75919511796,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
27,Microsoft,2022,2.04E+11,72329982931,3.27E+11,1.90E+11,74809435706,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
28,Tesla,2021,54590075774,5388932,62433500353,30264928166,5872784759,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
29,Microsoft,2022,1.99E+11,69418990766,3.44E+11,2.03E+11,74626410528,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
30,Microsoft,2022,1.92E+11,74546566691,3.25E+11,2.01E+11,73909610654,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
31,Microsoft,2021,1.71E+11,66867076811,2.92E+11,1.87E+11,61580828188,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
32,Apple,2022,3.95E+11,99382027390,3.61E+11,2.99E+11,1.06E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
33,Apple,2021,3.73E+11,92276366514,3.40E+11,2.91E+11,1.03E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
34,Microsoft,2021,1.72E+11,60773260176,3.11E+11,1.81E+11,62438705156,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
35,Microsoft,2023,2.10E+11,79705988087,3.50E+11,2.00E+11,79224662700,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
36,Apple,2023,3.99E+11,96970343039,3.38E+11,2.94E+11,1.11E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
37,Tesla,2023,77757393168,14771043376,80216619028,43252736794,16718819433,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
38,Apple,2023,3.82E+11,1.00E+11,3.46E+11,3.07E+11,1.03E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
39,Apple,2021,3.67E+11,95081080418,3.55E+11,2.71E+11,1.07E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
40,Microsoft,2023,2.08E+11,90241361715,3.85E+11,2.19E+11,84064320544,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
41,Microsoft,2022,1.86E+11,72403869815,3.26E+11,2.00E+11,71284849759,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
42,Microsoft,2022,1.97E+11,70352023514,3.50E+11,1.93E+11,72307223477,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
43,Tesla,2022,81912558560,12209856847,87423006886,42286804327,15763766545,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
44,Apple,2022,3.89E+11,1.04E+11,3.45E+11,2.91E+11,1.13E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
45,Tesla,2022,73913732316,11636829442,81381030289,40456856019,15752869516,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
46,Microsoft,2022,1.90E+11,72003917506,3.41E+11,2.07E+11,73912036209,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
47,Apple,2022,3.95E+11,98655978628,3.53E+11,2.93E+11,1.15E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
48,Microsoft,2021,1.62E+11,62269972020,3.05E+11,1.85E+11,60801771649,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
49,Tesla,2023,82151607312,14721404845,81489614261,42368708709,16702065615,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
50,Tesla,2021,55212476318,5588054,61658903106,29919038672,5909629077,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
51,Microsoft,2021,1.57E+11,63596653709,3.22E+11,1.93E+11,59884428178,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
52,Microsoft,2023,2.13E+11,86671669718,3.67E+11,2.01E+11,82898033073,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
